No.;Time;Source;Destination;Protocol;Info;Tiempo;Time-Slot;Desv.Est.;Valor Medio
1;0.000000;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,000000;;1,43350950291518E-006;0,000101
2;0.000103;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,000103;0,000103;;
3;0.000200;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,000200;;;
4;0.000301;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,000301;0,000101;;
48;0.007200;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,007200;;;
49;0.007300;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,007300;0,0001;;
50;0.007401;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,007401;;;
51;0.007503;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,007503;0,000102;;
93;0.014200;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,014200;;;
95;0.014302;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,014302;0,000102;;
96;0.014399;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,014399;;;
97;0.014501;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,014501;0,000102;;
141;0.021600;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,021600;;;
142;0.021701;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,021701;0,000101;;
143;0.021799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,021799;;;
144;0.021899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,021899;0,0001;;
188;0.028799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,028799;;;
189;0.028901;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,028901;0,000102;;
190;0.028999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,028999;;;
191;0.029098;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,029098;0,000099;;
235;0.036000;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,036000;;;
236;0.036099;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,036099;0,000099;;
237;0.036199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,036199;;;
238;0.036301;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,036301;0,000102;;
282;0.043200;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,043200;;;
283;0.043303;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,043303;0,000103;;
284;0.043400;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,043400;;;
285;0.043507;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,043507;0,000107;;
327;0.050200;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,050200;;;
329;0.050304;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,050304;0,000104;;
330;0.050401;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,050401;;;
331;0.050506;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,050506;0,000105;;
375;0.057599;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,057599;;;
376;0.057704;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,057704;0,000105;;
377;0.057799;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,057799;;;
378;0.057903;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,057903;0,000104;;
422;0.064800;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,064800;;;
423;0.064899;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,064899;0,000099;;
424;0.065000;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,065000;;;
425;0.065102;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,065102;0,000102;;
469;0.071999;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,071999;;;
470;0.072102;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,072102;0,000103;;
471;0.072199;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,072199;;;
472;0.072301;XmosSemi_00:56:c4;f8:1a:67:03:e4:8f;0x9023;Ethernet II;0,072301;0,000102;;
516;0.079200;f8:1a:67:03:e4:8f;Broadcast;TDMA;Synchronisation;0,079200;;;
